Año,Kilómetraje,Precio,Lugar,Negociacion,Categoría,Marca,Subtipo,Modelo,Publicación,Recorrido,Vidrios,Transmisión,Combustible,Sistema de climatización,Tracción,Color,Último número de la placa,Dirección,Motor(cilindraje),Tapizado,Placa,Tipo de Motor,Entrada desde,Cuotas desde,Número de cuotas
2018,88250,21.8,Quito,Negociable,USED,Mazda,Hatchback (5 Puertas),CX-3 ENTRY,,,,,,,,,,,,,,,,,
2018,88250,21.8,Quito,Negociable,USED,Mazda,Hatchback (5 Puertas),CX-3 Full,,,,,,,,,,,,,,,,,
2018,88250,21.8,Quito,Negociable,USED,Mazda,Hatchback (5 Puertas),CX-3,,,,,,,,,,,,,,,,,
2009,234753,11.9,Quito,Fijo,USED,Hyundai,Todoterreno,Tucson,,,,,,,,,,,,,,,,,
1998,411501,7.9,Quito,Fijo,USED,Ford,Todoterreno,Explorer XLT,,,,,,,,,,,,,,,,,
2017,98000,22.6,Quito,Fijo,USED,Kia,Todoterreno,SPORTAGE GT LINE AT,,,,,,,,,,,,,,,,,
2018,137000,16.9,Quito,Negociable,USED,Peugeot,Camioneta Cabina Simple,Partner,,,,,,,,,,,,,,,,,
2018,137000,16.9,Quito,Negociable,USED,Peugeot,Van de Carga,PARTNER PRO LG,,,,,,,,,,,,,,,,,
2013,119000,19.9,Quito,Negociable,USED,Dodge,Todoterreno,Journey SE,,,,,,,,,,,,,,,,,
2009,142000,235.0,Quito,Negociable,USED,BMW,Sedán,325i,,,,,,,,,,,,,,,,,
2000,310000,11.3,Quito,Negociable,USED,Nissan,Todoterreno,Pathfinder,,,,,,,,,,,,,,,,,
2018,49000,29.9,Quito,Negociable,USED,Mazda,Todoterreno,CX-5,,,,,,,,,,,,,,,,,
2018,157765,36.5,Quito,Negociable,USED,Chevrolet,Todoterreno,TrailBlazer DSL LTZ TA 2.8,,,,,,,,,,,,,,,,,
2018,157765,36.5,Quito,Negociable,USED,Chevrolet,Todoterreno,Trailblazer,,,,,,,,,,,,,,,,,
2021,90000,14.9,Quito,Negociable,USED,Suzuki,Todoterreno,LJ 50 LC,#1702383,100180 Kms,Manuales,Manual,Gasolina,Calefacción,4 x 4,Café,0.0,Mecánica,1000.0,Tela,Pichincha,,,,
2019,29000,26.9,Quito,Negociable,USED,Nissan,Camioneta Doble Cabina,Frontier,,,,,,,,,,,,,,,,,
2017,54000,27.4,Quito,Negociable,USED,Nissan,Todoterreno,X-Trail,,,,,,,,,,,,,,,,,
2017,54000,27.4,Quito,Negociable,USED,Nissan,Todoterreno,X-Trail Advance,,,,,,,,,,,,,,,,,
2014,138000,17.9,Quito,Negociable,USED,Mitsubishi,Todoterreno,Outlander,,,,,,,,,,,,,,,,,
2006,230000,10.2,Quito,Negociable,USED,Chevrolet,Todoterreno,Trailblazer,,,,,,,,,,,,,,,,,
2005,259180,7.9,Quito,Fijo,USED,Ford,Todoterreno,Explorer XLT,,,,,,,,,,,,,,,,,
2022,26038,15.9,Quito,Fijo,USED,Chevrolet,Sedán,Sail,,,,,,,,,,,,,,,,,
2019,17165,18.9,Quito,Fijo,USED,Ssangyong,Crossover,XLV,,,,,,,,,,,,,,,,,
2018,300,11.9,Quito,Fijo,USED,Chevrolet,Sedán,Aveo Family,,,,,,,,,,,,,,,,,
2011,242000,15.0,Quito,Negociable,USED,Hyundai,Todoterreno,Santa Fe,,,,,,,,,,,,,,,,,
2014,172946,12.9,Quito,Fijo,USED,Volkswagen,Sedán,New Jetta,,,,,,,,,,,,,,,,,
2013,119000,19.9,Quito,Negociable,USED,Dodge,Todoterreno,Journey,,,,,,,,,,,,,,,,,
2021,64083,12.9,Quito,Fijo,USED,Chevrolet,Hatchback (5 Puertas),Spark GT,,,,,,,,,,,,,,,,,
2011,78583,38.0,Quito,Negociable,USED,Porsche,Todoterreno Ligero,Cayenne S e-Hybrid,,,,,,,,,,,,,,,,,
2017,98000,22.6,Quito,Negociable,USED,Kia,Todoterreno,Sportage GT,,,,,,,,,,,,,,,,,
2006,220206,5.9,Quito,Fijo,USED,Fiat,Hatchback (5 Puertas),Palio,,,,,,,,,,,,,,,,,
2011,300,26.9,Quito,Fijo,USED,Mercedes Benz,Sedán,C180,,,,,,,,,,,,,,,,,
2017,98000,22.6,Quito,Negociable,USED,Kia,Todoterreno,SPORTAGE R GTI,,,,,,,,,,,,,,,,,
2018,49000,29.9,Quito,Negociable,USED,Mazda,Todoterreno,CX-5,,,,,,,,,,,,,,,,,
2010,138000,13.9,Quito,Negociable,USED,Ford,Todoterreno,Escape,,,,,,,,,,,,,,,,,
2013,82195,8.9,Quito,Fijo,USED,Kia,Sedán,Rio Stylus,,,,,,,,,,,,,,,,,
1977,508000,5.9,Quito,Negociable,USED,Ford,Camioneta Cabina Simple,F250,,,,,,,,,,,,,,,,,
2022,17000,52.4,Quito,Negociable,USED,Toyota,Todoterreno,Fortuner 2.7,,,,,,,,,,,,,,,,,
2008,184914,10.6,Quito,Negociable,USED,Chevrolet,Sedán,Aveo,,,,,,,,,,,,,,,,,
2006,250983,9.9,Quito,Fijo,USED,Ford,Todoterreno,Explorer XLT,,,,,,,,,,,,,,,,,
2013,169303,11.9,Quito,Fijo,USED,Kia,Todoterreno,Sportage LX,,,,,,,,,,,,,,,,,
2015,99000,22.9,Quito,Negociable,USED,Mazda,Todoterreno,CX-5 Full,,,,,,,,,,,,,,,,,
2009,163655,14.8,Quito,Fijo,USED,Ford,Camioneta Doble Cabina,Sport Track,,,,,,,,,,,,,,,,,
2003,194478,10.9,Quito,Negociable,USED,Ford,Camioneta Cabina Simple,F150 Flareside,,,,,,,,,,,,,,,,,
2020,47689,12.9,Quito,Fijo,USED,Chevrolet,Hatchback (5 Puertas),Spark GT,,,,,,,,,,,,,,,,,
2001,241425,10.9,Quito,Fijo,USED,Mercedes Benz,Todoterreno,ML 320,,,,,,,,,,,,,,,,,
2011,209107,7.9,Quito,Fijo,USED,Kia,Sedán,RIO LX,,,,,,,,,,,,,,,,,
2017,82700,15.5,Quito,Negociable,USED,Zotye,Todoterreno,T600,,,,,,,,,,,,,,,,,
2012,110300,26.9,Quito,Negociable,USED,Mercedes Benz,Sedán,C180 CGI,,,,,,,,,,,,,,,,,
2017,54000,27.4,Quito,Negociable,USED,Kia,Todoterreno,SPORTAGE R GTI,#1710565,98000 Kms,Eléctricos,Tiptronic,Gasolina,Aire Acondicionado,4 x 2,Negro,4.0,Hidráulica,2000.0,Tela,Pichincha,,,,
2012,123981,9.9,Quito,Negociable,USED,Chevrolet,Sedán,Sail,,,,,,,,,,,,,,,,,
2018,49000,28.9,Quito,Negociable,USED,Hyundai,Todoterreno,Tucson,,,,,,,,,,,,,,,,,
2008,184914,10.6,Quito,Negociable,USED,Chevrolet,Sedán,Aveo Emotion,,,,,,,,,,,,,,,,,
2013,118000,25.0,Quito,Negociable,USED,Ford,Todoterreno,Explorer,,,,,,,,,,,,,,,,,
2013,119000,19.9,Quito,Negociable,USED,Dodge,Todoterreno,Journey,,,,,,,,,,,,,,,,,
2010,96000,19.9,Quito,Negociable,USED,Honda,Van,Odissey,,,,,,,,,,,,,,,,,
2010,163390,15.9,Quito,Fijo,USED,Ford,Camioneta Cabina Simple,F150 CS 4x4,,,,,,,,,,,,,,,,,
2018,76945,29.9,Quito,Fijo,USED,Mazda,Todoterreno,CX-5 Full,,,,,,,,,,,,,,,,,
2015,155175,15.9,Quito,Fijo,USED,Chevrolet,Todoterreno,Grand Vitara 5p 4x2,,,,,,,,,,,,,,,,,
2020,60000,15.9,Quito,Negociable,USED,MG,Sedán,MG5,,,,,,,,,,,,,,,,,
2002,275000,7.9,Quito,Negociable,USED,Audi,Hatchback (5 Puertas),A3,,,,,,,,,,,,,,,,,
2021,15000,27.0,Quito,Negociable,USED,Chevrolet,Crossover,Captiva Premier,,,,,,,,,,,,,,,,,
2018,98000,61.9,Quito,Negociable,USED,Ford,Camioneta Doble Cabina,F150 Lariat,,,,,,,,,,,,,,,,,
2013,163000,12.2,Quito,Negociable,USED,Nissan,Sedán,SE Sport 2.0 MT,,,,,,,,,,,,,,,,,
2022,19000,21.9,Quito,Negociable,USED,Soueast,Todoterreno,DX7,,,,,,,,,,,,,,,,,
2014,120000,13.9,Quito,Fijo,USED,Jeep,Todoterreno,Compass Sport,,,,,,,,,,,,,,,,,
2019,54000,11.5,Quito,Negociable,USED,Chevrolet,Hatchback (5 Puertas),Spark GT,,,,,,,,,,,,,,,,,
2002,326500,8.9,Quito,Negociable,USED,Audi,Sedán,A4 1.8T,,,,,,,,,,,,,,,,,
2014,214800,31.9,Quito,Negociable,USED,Ford,Todoterreno,Explorer XLT,,,,,,,,,,,,,,,,,
2019,19000,26.4,Quito,Negociable,USED,Hyundai,Sedán,Sonata Hybrid,,,,,,,,,,,,,,,,,
2017,300,17.9,Quito,Fijo,USED,Hyundai,Sedán,Ioniq Hybrid,,,,,,,,,,,,,,,,,
2019,86138,10.9,Quito,Fijo,USED,Chevrolet,Hatchback (5 Puertas),Spark Life,,,,,,,,,,,,,,,,,
2019,19000,21.9,Quito,Negociable,USED,Soueast,Todoterreno,DX3,,,,,,,,,,,,,,,,,
2006,108941,26.9,Quito,Fijo,USED,Nissan,Todoterreno,Armada,,,,,,,,,,,,,,,,,
2017,88000,20.9,Quito,Negociable,USED,Mazda,Hatchback (5 Puertas),3,,,,,,,,,,,,,,,,,
2018,80000,24.9,Quito,Negociable,USED,Nissan,Todoterreno,X-Trail Sense,,,,,,,,,,,,,,,,,
2015,99000,22.9,Quito,Negociable,USED,Mazda,Todoterreno,CX-5,,,,,,,,,,,,,,,,,
2014,118000,22.9,Quito,Negociable,USED,Mitsubishi,Todoterreno,Outlander Sport,,,,,,,,,,,,,,,,,
2008,225000,21.9,Quito,Negociable,USED,Mitsubishi,Todoterreno,Montero 5P,,,,,,,,,,,,,,,,,
2019,69741,16.9,Quito,Fijo,USED,Kia,Sedán,Rio LX AC,,,,,,,,,,,,,,,,,
2017,100000,16.9,Quito,Fijo,USED,Chevrolet,Todoterreno,Captiva,,,,,,,,,,,,,,,,,
2016,80168,26.9,Quito,Fijo,USED,Hyundai,Todoterreno,TUCSON TL,,,,,,,,,,,,,,,,,
2015,44000,40.9,Quito,Negociable,USED,Mitsubishi,Todoterreno,Montero 5P,,,,,,,,,,,,,,,,,
2022,22000,27.4,Quito,Negociable,USED,Toyota,Sedán,Corolla 1.8,,,,,,,,,,,,,,,,,
2013,125000,60.9,Quito,Financiado,USED,Audi,Sedán,A4 1.8T,#1704480,326500 Kms,,Manual,,,,Plomo,7.0,,1800.0,Cuero,Guayas,,,,
2020,22000,18.4,Quito,Negociable,USED,Fiat,Coupé,500 LOUNGE,,,,,,,,,,,,,,,,,
2013,125000,60.9,Quito,Financiado,USED,BMW,Todoterreno,X6,,,,,,,,,,,,,,,,,
2018,60300,42.9,Quito,Negociable,USED,BMW,Sedán,320i,,,,,,,,,,,,,,,,,
2020,36000,23.4,Quito,Negociable,USED,Chevrolet,Crossover,Captiva Premier,,,,,,,,,,,,,,,,,
2016,107000,22.9,Quito,Financiado,USED,Nissan,Todoterreno,X-Trail Sense,,,,,,,,,,,,,,,,,
2021,18000,24.5,Quito,Financiado,USED,Jetour,Todoterreno,X70 II MT 1.5T,,,,,,,,,,,,,,,,,
2014,88242,56.9,Quito,Financiado,USED,Jeep,Todoterreno,Wrangler Rubicon,,,,,,,,,,,,,,,,,
2012,70000,65.9,Quito,Financiado,USED,BMW,Sedán,M3 E90,,,,,,,,,,,,,,,,,
2019,51430,28.9,Quito,Negociable,USED,Mazda,Todoterreno,CX-5,,,,,,,,,,,,,,,,,
2003,180000,19.9,Quito,Financiado,USED,Mercedes Benz,Sedán,E320,,,,,,,,,,,,,,,,,
2022,11000,34.9,Quito,Negociable,USED,Haval,Crossover,H6 B01 Supreme,,,,,,,,,,,,,,,,,
2007,273828,9.9,Quito,Negociable,USED,Chevrolet,Todoterreno,Trailblazer,,,,,,,,,,,,,,,,,
2011,188980,11.4,Quito,Negociable,USED,Volkswagen,Sedán,Jetta,,,,,,,,,,,,,,,,,
2015,107000,14.9,Quito,Negociable,USED,Chevrolet,Todoterreno,Captiva Sport,,,,,,,,,,,,,,,,,
2018,61500,12.4,Quito,Negociable,USED,Faw,Todoterreno,D60,,,,,,,,,,,,,,,,,
2009,191280,15.8,Quito,Negociable,USED,Hyundai,Todoterreno,Veracruz,,,,,,,,,,,,,,,,,
2008,80641,26.99,Quito,Negociable,USED,Dodge,Camioneta Doble Cabina,Ram 2500,,,,,,,,,,,,,,,,,
2021,18460,19.0,Quito,Negociable,USED,Kia,Crossover,Stonic,,,,,,,,,,,,,,,,,
2008,69000,20.9,Quito,Financiado,USED,Volvo,Sedán,S80,,,,,,,,,,,,,,,,,
2016,79110,39.5,Quito,Negociable,USED,Ford,Todoterreno,Explorer XLT,,,,,,,,,,,,,,,,,
2016,79110,39.5,Quito,Negociable,USED,Ford,Todoterreno,Explorer,,,,,,,,,,,,,,,,,
2018,32000,74.9,Quito,Negociable,USED,Toyota,Todoterreno,Land Cruiser Prado TX,,,,,,,,,,,,,,,,,
2022,12000,22.9,Quito,Negociable,USED,DongFeng,Sedán,AEOLUS E-70,,,,,,,,,,,,,,,,,
2012,233000,23.9,Quito,Negociable,USED,Toyota,Todoterreno,New Fortuner,,,,,,,,,,,,,,,,,
2018,80000,24.9,Quito,Negociable,USED,Nissan,Todoterreno,X-Trail,,,,,,,,,,,,,,,,,
2014,118000,22.9,Quito,Negociable,USED,Mitsubishi,Todoterreno,Outlander,,,,,,,,,,,,,,,,,
2013,224311,11.8,Quito,Negociable,USED,Toyota,Hatchback (5 Puertas),Prius C Sport,,,,,,,,,,,,,,,,,
2014,118000,22.9,Quito,Negociable,USED,Mitsubishi,Todoterreno,Outlander Sport,,,,,,,,,,,,,,,,,
2018,80000,24.9,Quito,Negociable,USED,Nissan,Todoterreno,X-Trail Sense,,,,,,,,,,,,,,,,,
2006,201000,15.9,Quito,Negociable,USED,Toyota,Todoterreno,Prado 3P,,,,,,,,,,,,,,,,,
2017,102000,38.0,Guayaquil,Negociable,USED,Toyota,Todoterreno,New Fortuner,,,,,,,,,,,,,,,,,
2016,89000,22.4,Quito,Negociable,USED,Nissan,Todoterreno,X-Trail,,,,,,,,,,,,,,,,,
2013,145000,28.9,Quito,Negociable,USED,Jeep,Todoterreno,Cherokee Laredo,,,,,,,,,,,,,,,,,
2019,79429,17.5,Quito,Negociable,USED,Soueast,Todoterreno,DX3,,,,,,,,,,,,,,,,,
2011,153072,15.9,Quito,Negociable,USED,Kia,Crossover,Stonic,#1701418,18460 Kms,Eléctricos,Manual,Híbrido,Aire Acondicionado,4 x 2,Azul,3.0,Electrónica,1000.0,Tela,Pichincha,Hibrido,,,
2011,122377,19.9,Quito,Negociable,USED,Nissan,Todoterreno,Murano,,,,,,,,,,,,,,,,,
2008,225237,12.9,Quito,Negociable,USED,Ford,Todoterreno,Explorer,,,,,,,,,,,,,,,,,
2012,107328,11.9,Quito,Negociable,USED,Peugeot,Sedán,408,,,,,,,,,,,,,,,,,
2011,164647,23.4,Quito,Negociable,USED,Hyundai,Van Pasajeros,H1 12 pasajeros,,,,,,,,,,,,,,,,,
2019,33000,22.9,Quito,Negociable,USED,Fiat,Hatchback (5 Puertas),500X Trekking Plus,,,,,,,,,,,,,,,,,
2008,222064,13.4,Quito,Negociable,USED,Chevrolet,Camioneta Doble Cabina,LUV Dmax CD V6,,,,,,,,,,,,,,,,,
2018,57000,25.9,Quito,Negociable,USED,Hyundai,Todoterreno,TUCSON TL,,,,,,,,,,,,,,,,,
2018,71000,67.9,Quito,Negociable,USED,Ford,Camioneta Doble Cabina,F150 Lariat,,,,,,,,,,,,,,,,,
2018,33897,11.2,Quito,Negociable,USED,Kia,Hatchback (5 Puertas),PICANTO LX,,,,,,,,,,,,,,,,,
2008,155681,9.3,Quito,Negociable,USED,Skoda,Todoterreno,Roomster,,,,,,,,,,,,,,,,,
2018,66000,26.4,Quito,Negociable,USED,Hyundai,Todoterreno,TUCSON TL,,,,,,,,,,,,,,,,,
2019,23000,14.4,Quito,Negociable,USED,Great Wall,Todoterreno,Haval M4,,,,,,,,,,,,,,,,,
2022,20000,23.4,Quito,Negociable,USED,Chery,Todoterreno,Tiggo 8 1.5 TM 4x2,,,,,,,,,,,,,,,,,
2022,12000,23.9,Quito,Negociable,USED,Chery,Todoterreno,Tiggo 7,,,,,,,,,,,,,,,,,
2021,18000,18.4,Quito,Negociable,USED,Kia,Crossover,Stonic,,,,,,,,,,,,,,,,,
2015,127551,22.9,Quito,Negociable,USED,Hyundai,Todoterreno,Santa Fe 4x2,,,,,,,,,,,,,,,,,
2021,56021,50.8,Quito,Negociable,USED,Mazda,Todoterreno,CX-9,,,,,,,,,,,,,,,,,
2020,43708,25.8,Quito,Negociable,USED,Kia,Todoterreno,Sportage,,,,,,,,,,,,,,,,,
2021,51000,33.9,Quito,Negociable,USED,Peugeot,Todoterreno,3008,,,,,,,,,,,,,,,,,
2005,253016,10.7,Quito,Negociable,USED,Chevrolet,Todoterreno,Grand Vitara 3P,,,,,,,,,,,,,,,,,
2005,253016,10.7,Quito,Negociable,USED,Chevrolet,Todoterreno,Grand Vitara 3P Sport,,,,,,,,,,,,,,,,,
2018,72000,20.4,Quito,Negociable,USED,Dodge,Todoterreno,Journey,,,,,,,,,,,,,,,,,
2022,15000,26.4,Quito,Negociable,USED,Great Wall,Todoterreno,Haval H6,,,,,,,,,,,,,,,,,
2011,164647,23.4,Quito,Negociable,USED,Hyundai,Van,H1,,,,,,,,,,,,,,,,,
2015,144000,21.9,Quito,Negociable,USED,Toyota,Todoterreno,RAV 4,,,,,,,,,,,,,,,,,
2016,82000,30.9,Quito,Negociable,USED,Ford,Todoterreno,Edge,,,,,,,,,,,,,,,,,
2020,13000,23.9,Quito,Negociable,USED,Chevrolet,Todoterreno,Captiva,,,,,,,,,,,,,,,,,
2019,30000,20.9,Quito,Negociable,USED,Changan,Todoterreno,CS 55,,,,,,,,,,,,,,,,,
2020,23000,22.9,Quito,Negociable,USED,Chevrolet,Todoterreno,Captiva,,,,,,,,,,,,,,,,,
2016,112694,13.4,Quito,Negociable,USED,Kia,Sedán,Cerato,,,,,,,,,,,,,,,,,
1998,51430,22.5,Quito,Negociable,USED,Mitsubishi,Convertible,Eclipse,,,,,,,,,,,,,,,,,
2015,138578,24.5,Quito,Negociable,USED,Nissan,Todoterreno,X-Trail,,,,,,,,,,,,,,,,,
2015,138578,24.5,Quito,Negociable,USED,Nissan,Todoterreno,X-Trail Exclusive,,,,,,,,,,,,,,,,,
2015,156398,10.4,Quito,Negociable,USED,Chevrolet,Sedán,Aveo Family,,,,,,,,,,,,,,,,,
1989,323089,14.5,Quito,Negociable,USED,Kia,Todoterreno,Sportage,#1713523,43708 Kms,Eléctricos,Manual,Gasolina,Aire Acondicionado,4 x 2,Negro,8.0,Hidráulica,2000.0,Tela,Pichincha,,,,
2009,165024,22.5,Quito,Negociable,USED,Mitsubishi,Camioneta Doble Cabina,Sportero L200,,,,,,,,,,,,,,,,,
2022,18920,26.4,Quito,Negociable,USED,Mazda,Hatchback (5 Puertas),CX-3 Full,,,,,,,,,,,,,,,,,
2020,4902,18.4,Quito,Negociable,USED,Fiat,Coupé,500 LOUNGE,,,,,,,,,,,,,,,,,
2010,148425,20.8,Quito,Negociable,USED,Lexus,Todoterreno,RX 450 Hibrido,,,,,,,,,,,,,,,,,
2020,36663,24.9,Quito,Negociable,USED,Chevrolet,Todoterreno,Captiva,,,,,,,,,,,,,,,,,
2020,36663,23.8,Quito,Negociable,USED,Chevrolet,Crossover,Captiva Premier,,,,,,,,,,,,,,,,,
2020,36663,23.8,Quito,Negociable,USED,Chevrolet,Todoterreno,Captiva Limited,,,,,,,,,,,,,,,,,
2020,45641,17.7,Quito,Negociable,USED,Toyota,Hatchback (5 Puertas),Yaris,,,,,,,,,,,,,,,,,
2020,45641,17.7,Quito,Negociable,USED,Toyota,Hatchback (5 Puertas),Yaris Sport,,,,,,,,,,,,,,,,,
2019,41600,15.9,Quito,Negociable,USED,Volkswagen,Hatchback (5 Puertas),Virtus,,,,,,,,,,,,,,,,,
1989,323089,14.5,Quito,Negociable,USED,Toyota,Todoterreno,Land Cruiser,,,,,,,,,,,,,,,,,
2018,80000,12.4,Quito,Negociable,USED,Hyundai,Hatchback (5 Puertas),Grand I10 HB,,,,,,,,,,,,,,,,,
2014,172000,26.5,Quito,Negociable,USED,Jeep,Todoterreno,Grand Cherokee Laredo,,,,,,,,,,,,,,,,,
2020,46643,34.9,Quito,Negociable,USED,Ford,Todoterreno,Ranger,,,,,,,,,,,,,,,,,
2022,18920,26.4,Quito,Negociable,USED,Mazda,Crossover,CX-3,,,,,,,,,,,,,,,,,
2014,119311,27.8,Quito,Negociable,USED,Ford,Todoterreno,Explorer,,,,,,,,,,,,,,,,,
2022,18920,26.4,Quito,Negociable,USED,Mazda,Hatchback (5 Puertas),CX-3 ENTRY,,,,,,,,,,,,,,,,,
2016,95687,54.9,Quito,Negociable,USED,Ford,Camioneta Doble Cabina,F150 4X4,,,,,,,,,,,,,,,,,
2010,192627,14.3,Quito,Negociable,USED,Ford,Camioneta Cabina Simple,F150 4X4,,,,,,,,,,,,,,,,,
2019,71327,42.8,Quito,Negociable,USED,Nissan,Todoterreno,Pathfinder,,,,,,,,,,,,,,,,,
2018,108075,24.5,Quito,Negociable,USED,Mitsubishi,Todoterreno,Outlander,,,,,,,,,,,,,,,,,
2018,108075,24.5,Quito,Negociable,USED,Mitsubishi,Todoterreno,Outlander Sport,,,,,,,,,,,,,,,,,
2015,106605,13.8,Quito,Negociable,USED,Volkswagen,Hatchback (5 Puertas),Gol Plus,,,,,,,,,,,,,,,,,
2005,406076,11.7,Quito,Negociable,USED,Mazda,Camioneta Doble Cabina,B2200 CD,,,,,,,,,,,,,,,,,
1992,399930,4.1,Quito,Negociable,USED,Fiat,Sedán,Premio,,,,,,,,,,,,,,,,,
2018,56035,25.8,Quito,Negociable,USED,Nissan,Todoterreno,X-Trail,,,,,,,,,,,,,,,,,
2004,236502,10.5,Quito,Negociable,USED,Chevrolet,Todoterreno,Grand Vitara XL7,,,,,,,,,,,,,,,,,
2017,68500,16.5,Quito,Negociable,USED,Kia,Sedán,Cerato,,,,,,,,,,,,,,,,,
1996,325630,8.5,Quito,Negociable,USED,Ford,Camioneta Cabina Simple,F150 Flareside,,,,,,,,,,,,,,,,,
1996,325630,8.5,Quito,Negociable,USED,Ford,Camioneta Doble Cabina,F150 SC 4X2,,,,,,,,,,,,,,,,,
1996,325630,8.5,Quito,Negociable,USED,Ford,Camioneta Cabina Simple,F150 XL CS,,,,,,,,,,,,,,,,,
2021,28781,16.8,Quito,Negociable,USED,Chevrolet,Sedán,ONIX LTZ TURBO,,,,,,,,,,,,,,,,,
2009,126826,21.8,Quito,Negociable,USED,BMW,Todoterreno,X3 2.5SI,,,,,,,,,,,,,,,,,
2009,126826,21.8,Quito,Negociable,USED,BMW,Todoterreno,X3,,,,,,,,,,,,,,,,,
2009,126826,21.8,Quito,Negociable,USED,Ford,Camioneta Doble Cabina,F150 4X4,#1695652,95687 Kms,Eléctricos,Tiptronic,Gasolina,Aire Acondicionado,4 x 4,Negro,1.0,Hidráulica,3500.0,Cuero,Pichincha,,,,
2021,28781,16.8,Quito,Negociable,USED,Chevrolet,Sedán,ONIX,,,,,,,,,,,,,,,,,
2020,17736,22.3,Quito,Negociable,USED,VGV WEICHAI,Otro,U70 LUXURY AT,,,,,,,,,,,,,,,,,
2018,63361,24.8,Quito,Negociable,USED,Mazda,Camioneta Doble Cabina,BT-50,,,,,,,,,,,,,,,,,
2018,63361,24.8,Quito,Negociable,USED,Mazda,Camioneta Doble Cabina,BT-50 CD 4x2,,,,,,,,,,,,,,,,,
2018,63361,24.8,Quito,Negociable,USED,Mazda,Camioneta Doble Cabina,New BT-50,,,,,,,,,,,,,,,,,
2014,140000,10.9,Quito,Negociable,USED,DFSK,Mini van (MPV),v29,,,,,,,,,,,,,,,,,
2016,159837,11.9,Quito,Negociable,USED,Chevrolet,Sedán,Sail,,,,,,,,,,,,,,,,,
2013,141226,16.3,Quito,Negociable,USED,Hyundai,Todoterreno,Tucson,,,,,,,,,,,,,,,,,
2013,141226,16.3,Quito,Negociable,USED,Hyundai,Todoterreno,Tucson IX,,,,,,,,,,,,,,,,,
2010,133259,23.4,Quito,Negociable,USED,Dodge,Todoterreno,Nitro,,,,,,,,,,,,,,,,,
2012,108695,25.6,Quito,Negociable,USED,BMW,Todoterreno,X1,,,,,,,,,,,,,,,,,
2018,59000,24.9,Quito,Negociable,USED,Mazda,Sedán,6,,,,,,,,,,,,,,,,,
2014,170000,19.49,Quito,Negociable,USED,Volkswagen,Camioneta Doble Cabina,Amarok,,,,,,,,,,,,,,,,,
2018,62425,18.9,Quito,Negociable,USED,Hyundai,Sedán,Ioniq Hybrid,,,,,,,,,,,,,,,,,
2020,66790,15.3,Quito,Negociable,USED,Peugeot,Sedán,301,,,,,,,,,,,,,,,,,
2015,120000,12.9,Guayaquil,Negociable,USED,Kia,Sedán,Cerato,,,,,,,,,,,,,,,,,
2019,30000,12.4,Quito,Negociable,USED,Chevrolet,Hatchback (5 Puertas),Spark GT,,,,,,,,,,,,,,,,,
2015,105000,21.9,Guayaquil,Negociable,USED,Mazda,Camioneta Doble Cabina,BT-50 CD 4x4 Diesel,,,,,,,,,,,,,,,,,
2011,288000,12.9,Quito,Negociable,USED,Mahindra,Camioneta Doble Cabina,Pick UP CD,,,,,,,,,,,,,,,,,
2016,82468,28.9,Quito,Negociable,USED,Kia,Van,Carnival,,,,,,,,,,,,,,,,,
2014,129220,26.9,Quito,Negociable,USED,Toyota,Todoterreno,Fortuner 2.7,,,,,,,,,,,,,,,,,
2010,216632,15.9,Quito,Negociable,USED,Mazda,Todoterreno,CX7,,,,,,,,,,,,,,,,,
2023,100,31.9,Quito,Fijo,USED,Chevrolet,Crossover,Captiva Premier,,,,,,,,,,,,,,,,,
2016,42711,24.9,Quito,Negociable,USED,Honda,Todoterreno,HRV,,,,,,,,,,,,,,,,,
2022,8583,16.9,Quito,Negociable,USED,Great Wall,Todoterreno,Haval M4,,,,,,,,,,,,,,,,,
2016,135711,24.9,Quito,Negociable,USED,Mitsubishi,Crossover,Outlander,,,,,,,,,,,,,,,,,
2004,291075,6.9,Quito,Negociable,USED,Hyundai,Todoterreno,Santa Fe,,,,,,,,,,,,,,,,,
2011,150602,16.5,Quito,Negociable,USED,Nissan,Otro,Murano 4X2 AT,,,,,,,,,,,,,,,,,
2014,118000,15.3,Quito,Negociable,USED,Chevrolet,Todoterreno,Grand Vitara 5p 4x2,,,,,,,,,,,,,,,,,
2024,0,16.89,Quito,Fijo,NEW,Chery,Sedán,Arrizo 5,,,,,,,,,,,,,,,,,
2013,129000,25.5,Quito,Negociable,USED,Ford,Todoterreno,Explorer XLT,,,,,,,,,,,,,,,,,
2021,65071,24.99,Quito,Fijo,USED,Great Wall,Camioneta Doble Cabina,Wingle 7 Diesel,,,,,,,,,,,,,,,,,
2023,700,30.49,Quito,Negociable,USED,Chevrolet,Todoterreno,Captiva,,,,,,,,,,,,,,,,,
1993,136805,18.9,Cuenca,Negociable,USED,Toyota,Camioneta Cabina Simple,Hilux CS 4x4,,,,,,,,,,,,,,,,,
1993,136805,18.9,Cuenca,Negociable,USED,Mazda,Camioneta Doble Cabina,BT-50 CD 4x4 Diesel,#1724137,105000 Kms,Eléctricos,Manual,Diesel,Aire Acondicionado,4 x 4,Blanco,0.0,Hidráulica,2500.0,Tela,Tungurahua,2.5,,,
2011,72791,16.9,Cuenca,Negociable,USED,Hyundai,Todoterreno,Tucson,,,,,,,,,,,,,,,,,
